Tecnología,Porcentaje
React,40.58%
jQuery,21.98%
Express,19.28%
Angular,17.46%
Next.js,16.67%
ASP.NET CORE,16.57%
Vue.js,16.38%
WordPress,13.38%
ASP.NET,12.79%
Flask,12.16%
Spring Boot,11.95%
Django,11.47%
Laravel,7.58%
FastAPI,7.42%
AngularJS,7.21%
Svelte,6.62%
Ruby on Rails,5.49%
Next.JS,5.13%
Blazor,4.88%
Nuxt.js,3.69%
Symfony,3.02%
Deno,2.36%
Gatsby,2.33%
Fastify,2.05%
Phoenix,2.04%
Drupal,1.87%
CodeIgniter,1.72%
Solid.js,1.36%
Remix,1.27%
Elm,0.81%
Play Framework,0.76%
Lit,0.68%
Qwik,0.54%
