Tecnologias,Salario Promedio (USD)
Erlang,100636
Elixir,96000
Clojure,95541
Nim,94924
Ruby,90221
Perl,90000
Scala,88619
Apex,82500
F#,80555
Lisp,80555
Groovy,79330
Go,76433
Rust,76292
Zig,75332
Bash/Shell,75184
MicroPython,75184
OCaml,75184
Swift,75184
Objective-C,73648
Crystal,73036
PowerShell,72673
Lua,72542
Fortran,70351
Cobol,70000
Julia,70000
Haskell,68337
PY,67723
Solidity,66228
C#,66066
TS,65907
Kotlin,65815
SQL,64919
C++,64444
Delphi,64444
R,64444
VBA,64444
Zephyr,64444
C,63694
JS,63694
Visual Basic,63694
Java,61714
HTML/CSS,61485
Assembly,60834
GDScript,60684
MATLAB,53703
PHP,49586
Dart,44576
Prolog,43327
Ada,42584
